Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
group_4718,,hypothetical protein,GCDEOBMB_04848,DBBBBKPJ_05066,INHMNHHN_04791,PDFLHPBO_00521,FNCGEDBI_05248
group_4717,,hypothetical protein,GCDEOBMB_04850,DBBBBKPJ_05064,INHMNHHN_04793,PDFLHPBO_00523,FNCGEDBI_05250
group_4716,,hypothetical protein,GCDEOBMB_04843,DBBBBKPJ_05071,INHMNHHN_04786,PDFLHPBO_00516,FNCGEDBI_05243
aguA_3,aguA_3,agmatine deiminase,GCDEOBMB_04825,DBBBBKPJ_05089,INHMNHHN_04768,PDFLHPBO_00498,FNCGEDBI_05225
group_4715,,hypothetical protein,GCDEOBMB_04827,DBBBBKPJ_05087,INHMNHHN_04770,PDFLHPBO_00500,FNCGEDBI_05227
group_4714,,hypothetical protein,GCDEOBMB_04847,DBBBBKPJ_05067,INHMNHHN_04790,PDFLHPBO_00520,FNCGEDBI_05247
group_4713,,hypothetical protein,GCDEOBMB_04846,DBBBBKPJ_05068,INHMNHHN_04789,PDFLHPBO_00519,FNCGEDBI_05246
cysW,cysW,sulfate transporter CysW,GCDEOBMB_04836,DBBBBKPJ_05078,INHMNHHN_04779,PDFLHPBO_00509,FNCGEDBI_05236
group_4712,,transcriptional regulator,GCDEOBMB_04845,DBBBBKPJ_05069,INHMNHHN_04788,PDFLHPBO_00518,FNCGEDBI_05245
group_4711,,transcriptional regulator,GCDEOBMB_04842,DBBBBKPJ_05072,INHMNHHN_04785,PDFLHPBO_00515,FNCGEDBI_05242
desA,desA,delta-9 fatty acid desaturase DesA,GCDEOBMB_04831,DBBBBKPJ_05083,INHMNHHN_04774,PDFLHPBO_00504,FNCGEDBI_05231
gabD,gabD,glutarate-semialdehyde dehydrogenase DavD,GCDEOBMB_04852,DBBBBKPJ_05062,INHMNHHN_04795,PDFLHPBO_00525,FNCGEDBI_05252
ycaL,ycaL,Metalloprotease YcaL,GCDEOBMB_04840,DBBBBKPJ_05074,INHMNHHN_04783,PDFLHPBO_00513,FNCGEDBI_05240
sbp,sbp,sulfate-binding protein,GCDEOBMB_04834,DBBBBKPJ_05080,INHMNHHN_04777,PDFLHPBO_00507,FNCGEDBI_05234
gpuA,gpuA,guanidinopropionase,GCDEOBMB_04829,DBBBBKPJ_05085,INHMNHHN_04772,PDFLHPBO_00502,FNCGEDBI_05229
group_4710,,hypothetical protein,GCDEOBMB_04832,DBBBBKPJ_05082,INHMNHHN_04775,PDFLHPBO_00505,FNCGEDBI_05232
group_4709,,transcriptional regulator,GCDEOBMB_04849,DBBBBKPJ_05065,INHMNHHN_04792,PDFLHPBO_00522,FNCGEDBI_05249
group_4708,,5-aminovalerate aminotransferase DavT,GCDEOBMB_04851,DBBBBKPJ_05063,INHMNHHN_04794,PDFLHPBO_00524,FNCGEDBI_05251
group_4707,,hypothetical protein,GCDEOBMB_04841,DBBBBKPJ_05073,INHMNHHN_04784,PDFLHPBO_00514,FNCGEDBI_05241
aguB_3,aguB_3,N-carbamoylputrescine amidohydrolase,GCDEOBMB_04824,DBBBBKPJ_05090,INHMNHHN_04767,PDFLHPBO_00497,FNCGEDBI_05224
oprE,oprE,anaerobically-induced outer membrane porin OprE,GCDEOBMB_04826,DBBBBKPJ_05088,INHMNHHN_04769,PDFLHPBO_00499,FNCGEDBI_05226
gpuR,gpuR,transcriptional activator GpuR,GCDEOBMB_04828,DBBBBKPJ_05086,INHMNHHN_04771,PDFLHPBO_00501,FNCGEDBI_05228
gpuP,gpuP,3-guanidinopropionate transporter,GCDEOBMB_04830,DBBBBKPJ_05084,INHMNHHN_04773,PDFLHPBO_00503,FNCGEDBI_05230
group_4706,,transcriptional regulator,GCDEOBMB_04523,DBBBBKPJ_05729,INHMNHHN_05430,PDFLHPBO_05063,FNCGEDBI_05266
group_4705,,hypothetical protein,GCDEOBMB_04516,DBBBBKPJ_05722,INHMNHHN_05437,PDFLHPBO_05070,FNCGEDBI_05273
group_4704,,coniferyl aldehyde dehydrogenase,GCDEOBMB_04458,DBBBBKPJ_05664,INHMNHHN_05494,PDFLHPBO_05127,FNCGEDBI_05329
group_4703,,major facilitator superfamily transporter,GCDEOBMB_04491,DBBBBKPJ_05697,INHMNHHN_05462,PDFLHPBO_05095,FNCGEDBI_05297
group_4702,,hypothetical protein,GCDEOBMB_04466,DBBBBKPJ_05672,INHMNHHN_05487,PDFLHPBO_05120,FNCGEDBI_05322
group_4701,,hypothetical protein,GCDEOBMB_04521,DBBBBKPJ_05727,INHMNHHN_05432,PDFLHPBO_05065,FNCGEDBI_05268
group_4700,,hypothetical protein,GCDEOBMB_04494,DBBBBKPJ_05700,INHMNHHN_05459,PDFLHPBO_05092,FNCGEDBI_05294
group_4699,,hypothetical protein,GCDEOBMB_04492,DBBBBKPJ_05698,INHMNHHN_05461,PDFLHPBO_05094,FNCGEDBI_05296
pfpI_2,pfpI_2,protease PfpI,GCDEOBMB_04470,DBBBBKPJ_05676,INHMNHHN_05483,PDFLHPBO_05116,FNCGEDBI_05318
spuA,spuA,glutamine amidotransferase,GCDEOBMB_04532,DBBBBKPJ_05738,INHMNHHN_05421,PDFLHPBO_05054,FNCGEDBI_05257
group_4698,,hypothetical protein,GCDEOBMB_04519,DBBBBKPJ_05725,INHMNHHN_05434,PDFLHPBO_05067,FNCGEDBI_05270
group_4696,,hypothetical protein,GCDEOBMB_04486,DBBBBKPJ_05692,INHMNHHN_05467,PDFLHPBO_05100,FNCGEDBI_05302
group_4695,,hypothetical protein,GCDEOBMB_04474,DBBBBKPJ_05680,INHMNHHN_05479,PDFLHPBO_05112,FNCGEDBI_05314
group_4694,,acetyltransferase,GCDEOBMB_04456,DBBBBKPJ_05662,INHMNHHN_05496,PDFLHPBO_05129,FNCGEDBI_05331
group_4693,,gamma-glutamyltranspeptidase,GCDEOBMB_04463,DBBBBKPJ_05669,INHMNHHN_05489,PDFLHPBO_05122,FNCGEDBI_05324
ygiW,ygiW,Protein YgiW,GCDEOBMB_04507,DBBBBKPJ_05713,INHMNHHN_05446,PDFLHPBO_05079,FNCGEDBI_05282
group_4692,,hypothetical protein,GCDEOBMB_04459,DBBBBKPJ_05665,INHMNHHN_05493,PDFLHPBO_05126,FNCGEDBI_05328
ptsP,ptsP,phosphoenolpyruvate-protein phosphotransferase PtsP,GCDEOBMB_04488,DBBBBKPJ_05694,INHMNHHN_05465,PDFLHPBO_05098,FNCGEDBI_05300
group_4691,,L-cysteine ABC transporter protein YecS,GCDEOBMB_04514,DBBBBKPJ_05720,INHMNHHN_05439,PDFLHPBO_05072,FNCGEDBI_05275
group_4690,,ABC transporter ATP-binding protein,GCDEOBMB_04501,DBBBBKPJ_05707,INHMNHHN_05452,PDFLHPBO_05085,FNCGEDBI_05288
ygdP,ygdP,RNA pyrophosphohydrolase,GCDEOBMB_04489,DBBBBKPJ_05695,INHMNHHN_05464,PDFLHPBO_05097,FNCGEDBI_05299
coaD,coaD,phosphopantetheine adenylyltransferase,GCDEOBMB_04461,DBBBBKPJ_05667,INHMNHHN_05491,PDFLHPBO_05124,FNCGEDBI_05326
group_4689,,hypothetical protein,GCDEOBMB_04517,DBBBBKPJ_05723,INHMNHHN_05436,PDFLHPBO_05069,FNCGEDBI_05272
spuG,spuG,polyamine transporter PotH,GCDEOBMB_04526,DBBBBKPJ_05732,INHMNHHN_05427,PDFLHPBO_05060,FNCGEDBI_05263
group_4688,,hypothetical protein,GCDEOBMB_04454,DBBBBKPJ_05660,INHMNHHN_05498,PDFLHPBO_05131,FNCGEDBI_05333
quiP_2,quiP_2,acyl-homoserine lactone acylase QuiP,GCDEOBMB_04524,DBBBBKPJ_05730,INHMNHHN_05429,PDFLHPBO_05062,FNCGEDBI_05265
rlmI,rlmI,Ribosomal RNA large subunit methyltransferase I,GCDEOBMB_04471,DBBBBKPJ_05677,INHMNHHN_05482,PDFLHPBO_05115,FNCGEDBI_05317
group_4687,,hypothetical protein,GCDEOBMB_04452,DBBBBKPJ_05658,INHMNHHN_06242,PDFLHPBO_05133,FNCGEDBI_05335
group_4686,,L-cysteine ABC transporter protein FliY,GCDEOBMB_04513,DBBBBKPJ_05719,INHMNHHN_05440,PDFLHPBO_05073,FNCGEDBI_05276
group_4685,,hypothetical protein,GCDEOBMB_04518,DBBBBKPJ_05724,INHMNHHN_05435,PDFLHPBO_05068,FNCGEDBI_05271
group_4684,,hypothetical protein,GCDEOBMB_04477,DBBBBKPJ_05683,INHMNHHN_05476,PDFLHPBO_05109,FNCGEDBI_05311
group_4683,,hypothetical protein,GCDEOBMB_04479,DBBBBKPJ_05685,INHMNHHN_05474,PDFLHPBO_05107,FNCGEDBI_05309
ilvD,ilvD,dihydroxy-acid dehydratase,GCDEOBMB_04472,DBBBBKPJ_05678,INHMNHHN_05481,PDFLHPBO_05114,FNCGEDBI_05316
spuE,spuE,spermidine ABC transporter substrate-binding protein SpuE,GCDEOBMB_04528,DBBBBKPJ_05734,INHMNHHN_05425,PDFLHPBO_05058,FNCGEDBI_05261
group_4682,,hypothetical protein,GCDEOBMB_04455,DBBBBKPJ_05661,INHMNHHN_05497,PDFLHPBO_05130,FNCGEDBI_05332
group_4681,,hypothetical protein,GCDEOBMB_04515,DBBBBKPJ_05721,INHMNHHN_05438,PDFLHPBO_05071,FNCGEDBI_05274
spuD_2,spuD_2,putrescine ABC transporter substrate-binding protein SpuD,GCDEOBMB_04529,DBBBBKPJ_05735,INHMNHHN_05424,PDFLHPBO_05057,FNCGEDBI_05260
ilvA1,ilvA1,threonine dehydratase,GCDEOBMB_04495,DBBBBKPJ_05701,INHMNHHN_05458,PDFLHPBO_05091,FNCGEDBI_05293
fdx1,fdx1,4Fe-4S ferredoxin,GCDEOBMB_04462,DBBBBKPJ_05668,INHMNHHN_05490,PDFLHPBO_05123,FNCGEDBI_05325
spuB_2,spuB_2,glutamine synthetase,GCDEOBMB_04531,DBBBBKPJ_05737,INHMNHHN_05422,PDFLHPBO_05055,FNCGEDBI_05258
group_4678,,ABC transporter permease,GCDEOBMB_04502,DBBBBKPJ_05708,INHMNHHN_05451,PDFLHPBO_05084,FNCGEDBI_05287
yjiK_3,yjiK_3,putative protein YjiK,GCDEOBMB_04500,DBBBBKPJ_05706,INHMNHHN_05453,PDFLHPBO_05086,FNCGEDBI_05289
group_4677,,transcriptional regulator,GCDEOBMB_04522,DBBBBKPJ_05728,INHMNHHN_05431,PDFLHPBO_05064,FNCGEDBI_05267
group_4676,,hypothetical protein,GCDEOBMB_04512,DBBBBKPJ_05718,INHMNHHN_05441,PDFLHPBO_05074,FNCGEDBI_05277
group_4675,,hypothetical protein,GCDEOBMB_04467,DBBBBKPJ_05673,INHMNHHN_05486,PDFLHPBO_05119,FNCGEDBI_05321
group_4674,,ABC transporter permease,GCDEOBMB_04503,DBBBBKPJ_05709,INHMNHHN_05450,PDFLHPBO_05083,FNCGEDBI_05286
folA,folA,dihydrofolate reductase,GCDEOBMB_04475,DBBBBKPJ_05681,INHMNHHN_05478,PDFLHPBO_05111,FNCGEDBI_05313
serA,serA,D-3-phosphoglycerate dehydrogenase,GCDEOBMB_04511,DBBBBKPJ_05717,INHMNHHN_05442,PDFLHPBO_05075,FNCGEDBI_05278
spuH,spuH,polyamine transporter PotI,GCDEOBMB_04525,DBBBBKPJ_05731,INHMNHHN_05428,PDFLHPBO_05061,FNCGEDBI_05264
yjiK_4,yjiK_4,putative protein YjiK,GCDEOBMB_04508,DBBBBKPJ_05714,INHMNHHN_05445,PDFLHPBO_05078,FNCGEDBI_05281
thyA,thyA,thymidylate synthase,GCDEOBMB_04483,DBBBBKPJ_05689,INHMNHHN_05470,PDFLHPBO_05103,FNCGEDBI_05305
spuC_2,spuC_2,aminotransferase,GCDEOBMB_04530,DBBBBKPJ_05736,INHMNHHN_05423,PDFLHPBO_05056,FNCGEDBI_05259
group_4670,,transcriptional regulator,GCDEOBMB_04457,DBBBBKPJ_05663,INHMNHHN_05495,PDFLHPBO_05128,FNCGEDBI_05330
group_4669,,sulfur carrier protein ThiS,GCDEOBMB_04443,DBBBBKPJ_05649,INHMNHHN_06216,PDFLHPBO_05142,FNCGEDBI_05344
group_4668,,hypothetical protein,GCDEOBMB_04499,DBBBBKPJ_05705,INHMNHHN_05454,PDFLHPBO_05087,FNCGEDBI_05290
group_4667,,hypothetical protein,GCDEOBMB_04482,DBBBBKPJ_05688,INHMNHHN_05471,PDFLHPBO_05104,FNCGEDBI_05306
thiG,thiG,thiazole synthase,GCDEOBMB_04442,DBBBBKPJ_05648,INHMNHHN_06217,PDFLHPBO_05143,FNCGEDBI_05345
rsmD,rsmD,Ribosomal RNA small subunit methyltransferase D,GCDEOBMB_04453,DBBBBKPJ_05659,INHMNHHN_05499,PDFLHPBO_05132,FNCGEDBI_05334
group_4666,,hypothetical protein,GCDEOBMB_04481,DBBBBKPJ_05687,INHMNHHN_05472,PDFLHPBO_05105,FNCGEDBI_05307
group_4665,,hypothetical protein,GCDEOBMB_04438,DBBBBKPJ_05644,2_refound_34,PDFLHPBO_05147,FNCGEDBI_05349
group_4663,,hypothetical protein,GCDEOBMB_04469,DBBBBKPJ_05675,INHMNHHN_05484,PDFLHPBO_05117,FNCGEDBI_05319
group_4662,,oxidoreductase,GCDEOBMB_04460,DBBBBKPJ_05666,INHMNHHN_05492,PDFLHPBO_05125,FNCGEDBI_05327
menH,menH,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,GCDEOBMB_04520,DBBBBKPJ_05726,INHMNHHN_05433,PDFLHPBO_05066,FNCGEDBI_05269
group_4661,,putative membrane protein,GCDEOBMB_04480,DBBBBKPJ_05686,INHMNHHN_05473,PDFLHPBO_05106,FNCGEDBI_05308
group_4660,,putative phosphatase,GCDEOBMB_04490,DBBBBKPJ_05696,INHMNHHN_05463,PDFLHPBO_05096,FNCGEDBI_05298
group_4659,,transporter,GCDEOBMB_04473,DBBBBKPJ_05679,INHMNHHN_05480,PDFLHPBO_05113,FNCGEDBI_05315
lgt,lgt,prolipoprotein diacylglyceryl transferase,GCDEOBMB_04484,DBBBBKPJ_05690,INHMNHHN_05469,PDFLHPBO_05102,FNCGEDBI_05304
micA,micA,tRNA (guanine-N(7)-)-methyltransferase,GCDEOBMB_04441,DBBBBKPJ_05647,INHMNHHN_06218,PDFLHPBO_05144,FNCGEDBI_05346
group_4658,,zinc protease,GCDEOBMB_04451,DBBBBKPJ_05657,INHMNHHN_06244;INHMNHHN_06243,PDFLHPBO_05134,FNCGEDBI_05336
group_4657,,hypothetical protein,GCDEOBMB_04485,DBBBBKPJ_05691,INHMNHHN_05468,PDFLHPBO_05101,FNCGEDBI_05303
group_4656,,coproporphyrinogen III oxidase,GCDEOBMB_04437,DBBBBKPJ_05643,INHMNHHN_06262,PDFLHPBO_05148,FNCGEDBI_05350
group_4655,,hypothetical protein,GCDEOBMB_04465,DBBBBKPJ_05671,INHMNHHN_05488,PDFLHPBO_05121,FNCGEDBI_05323
glcD_2,glcD_2,glycolate oxidase subunit GlcD,GCDEOBMB_04510,DBBBBKPJ_05716,INHMNHHN_05443,PDFLHPBO_05076,FNCGEDBI_05279
group_4654,,transporter,GCDEOBMB_04505,DBBBBKPJ_05711,INHMNHHN_05448,PDFLHPBO_05081,FNCGEDBI_05284
group_4653,,acetylpolyamine aminohydrolase,GCDEOBMB_04506,DBBBBKPJ_05712,INHMNHHN_05447,PDFLHPBO_05080,FNCGEDBI_05283
group_4652,,hypothetical protein,GCDEOBMB_04497,DBBBBKPJ_05703,INHMNHHN_05456,PDFLHPBO_05089,FNCGEDBI_05291
ycgM,ycgM,putative protein YcgM,GCDEOBMB_04509,DBBBBKPJ_05715,INHMNHHN_05444,PDFLHPBO_05077,FNCGEDBI_05280
group_4651,,hypothetical protein,GCDEOBMB_04487,DBBBBKPJ_05693,INHMNHHN_05466,PDFLHPBO_05099,FNCGEDBI_05301
group_4650,,hypothetical protein,GCDEOBMB_04493,DBBBBKPJ_05699,INHMNHHN_05460,PDFLHPBO_05093,FNCGEDBI_05295
mutM,mutM,formamidopyrimidine-DNA glycosylase,GCDEOBMB_04468,DBBBBKPJ_05674,INHMNHHN_05485,PDFLHPBO_05118,FNCGEDBI_05320
group_4649,,hypothetical protein,GCDEOBMB_04476,DBBBBKPJ_05682,INHMNHHN_05477,PDFLHPBO_05110,FNCGEDBI_05312
glpQ,glpQ,glycerophosphoryl diester phosphodiesterase,GCDEOBMB_04478,DBBBBKPJ_05684,INHMNHHN_05475,PDFLHPBO_05108,FNCGEDBI_05310
group_4648,,ABC transporter,GCDEOBMB_04504,DBBBBKPJ_05710,INHMNHHN_05449,PDFLHPBO_05082,FNCGEDBI_05285
rpiA,rpiA,ribose-5-phosphate isomerase A,GCDEOBMB_04496,DBBBBKPJ_05702,INHMNHHN_05457,PDFLHPBO_05090,FNCGEDBI_05292
spuF,spuF,polyamine transporter PotG,GCDEOBMB_04527,DBBBBKPJ_05733,INHMNHHN_05426,PDFLHPBO_05059,FNCGEDBI_05262
group_4645,,hypothetical protein,GCDEOBMB_04337,DBBBBKPJ_04260,INHMNHHN_00337,PDFLHPBO_05933,FNCGEDBI_05005
group_4644,,hypothetical protein,GCDEOBMB_04353,DBBBBKPJ_04244,INHMNHHN_00321,PDFLHPBO_05949,FNCGEDBI_05021
exaA_2~~~exaA,exaA_2;exaA,quinoprotein ethanol dehydrogenase,GCDEOBMB_04379,DBBBBKPJ_04218,INHMNHHN_00295,PDFLHPBO_05975,FNCGEDBI_05047
eraR,eraR,response regulator EraR,GCDEOBMB_04377,DBBBBKPJ_04220,INHMNHHN_00297,PDFLHPBO_05973,FNCGEDBI_05045
rbsK,rbsK,ribokinase,GCDEOBMB_04346,DBBBBKPJ_04251,INHMNHHN_00328,PDFLHPBO_05942,FNCGEDBI_05014
rbsA,rbsA,ribose transporter RbsA,GCDEOBMB_04343,DBBBBKPJ_04254,INHMNHHN_00331,PDFLHPBO_05939,FNCGEDBI_05011
group_4643,,hypothetical protein,GCDEOBMB_04371,DBBBBKPJ_04226,INHMNHHN_00303,PDFLHPBO_05967,FNCGEDBI_05039
hpcD_2,hpcD_2,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,GCDEOBMB_04362,DBBBBKPJ_04235,INHMNHHN_00312,PDFLHPBO_05958,FNCGEDBI_05030
group_4641,,transcriptional regulator,GCDEOBMB_04357,DBBBBKPJ_04240,INHMNHHN_00317,PDFLHPBO_05953,FNCGEDBI_05025
group_4640,,transporter,GCDEOBMB_04354,DBBBBKPJ_04243,INHMNHHN_00320,PDFLHPBO_05950,FNCGEDBI_05022
group_4639,,hypothetical protein,GCDEOBMB_04336,DBBBBKPJ_04261,INHMNHHN_00338,PDFLHPBO_05932,FNCGEDBI_05004
group_4638,,hypothetical protein,GCDEOBMB_04373,DBBBBKPJ_04224,INHMNHHN_00301,PDFLHPBO_05969,FNCGEDBI_05041
group_4637,,hypothetical protein,GCDEOBMB_04366,DBBBBKPJ_04231,INHMNHHN_00308,PDFLHPBO_05962,FNCGEDBI_05034
group_4636,,hypothetical protein,GCDEOBMB_04363,DBBBBKPJ_04234,INHMNHHN_00311,PDFLHPBO_05959,FNCGEDBI_05031
group_4635,,hypothetical protein,GCDEOBMB_04349,DBBBBKPJ_04248,INHMNHHN_00325,PDFLHPBO_05945,FNCGEDBI_05017
group_4634,,transcriptional regulator,GCDEOBMB_04341,DBBBBKPJ_04256,INHMNHHN_00333,PDFLHPBO_05937,FNCGEDBI_05009
eptA_2,eptA_2,Phosphoethanolamine transferase EptA,GCDEOBMB_04368,DBBBBKPJ_04229,INHMNHHN_00306,PDFLHPBO_05964,FNCGEDBI_05036
exaB,exaB,cytochrome C550,GCDEOBMB_04380,DBBBBKPJ_04217,INHMNHHN_00292,PDFLHPBO_05976,FNCGEDBI_05048
group_4633,,hypothetical protein,GCDEOBMB_04365,DBBBBKPJ_04232,INHMNHHN_00309,PDFLHPBO_05961,FNCGEDBI_05033
group_4632,,hypothetical protein,GCDEOBMB_04340,DBBBBKPJ_04257,INHMNHHN_00334,PDFLHPBO_05936,FNCGEDBI_05008
group_4631,,hypothetical protein,GCDEOBMB_04348,DBBBBKPJ_04249,INHMNHHN_00326,PDFLHPBO_05944,FNCGEDBI_05016
group_4629,,hypothetical protein,GCDEOBMB_04370,DBBBBKPJ_04227,INHMNHHN_00304,PDFLHPBO_05966,FNCGEDBI_05038
group_4627,,hypothetical protein,GCDEOBMB_04347,DBBBBKPJ_04250,INHMNHHN_00327,PDFLHPBO_05943,FNCGEDBI_05015
group_4626,,hypothetical protein,GCDEOBMB_04359,DBBBBKPJ_04238,INHMNHHN_00315,PDFLHPBO_05955,FNCGEDBI_05027
group_4625,,glycerol metabolism activator,GCDEOBMB_04374,DBBBBKPJ_04223,INHMNHHN_00300,PDFLHPBO_05970,FNCGEDBI_05042
rbsR,rbsR,ribose operon repressor RbsR,GCDEOBMB_04345,DBBBBKPJ_04252,INHMNHHN_00329,PDFLHPBO_05941,FNCGEDBI_05013
group_4624,,ABC-F family ATPase,GCDEOBMB_04360,DBBBBKPJ_04237,INHMNHHN_00314,PDFLHPBO_05956,FNCGEDBI_05028
pqqF,pqqF,coenzyme PQQ synthesis protein F,GCDEOBMB_04369,DBBBBKPJ_04228,INHMNHHN_00305,PDFLHPBO_05965,FNCGEDBI_05037
group_4621,,hypothetical protein,GCDEOBMB_04361,DBBBBKPJ_04236,INHMNHHN_00313,PDFLHPBO_05957,FNCGEDBI_05029
group_4620,,hypothetical protein,GCDEOBMB_04339,DBBBBKPJ_04258,INHMNHHN_00335,PDFLHPBO_05935,FNCGEDBI_05007
pipB2,pipB2,Secreted effector protein PipB2,GCDEOBMB_04378,DBBBBKPJ_04219,INHMNHHN_00296,PDFLHPBO_05974,FNCGEDBI_05046
group_4619,,hypothetical protein,GCDEOBMB_04356,DBBBBKPJ_04241,INHMNHHN_00318,PDFLHPBO_05952,FNCGEDBI_05024
azoR2,azoR2,FMN-dependent NADH-azoreductase,GCDEOBMB_04358,DBBBBKPJ_04239,INHMNHHN_00316,PDFLHPBO_05954,FNCGEDBI_05026
group_4618,,hypothetical protein,GCDEOBMB_04352,DBBBBKPJ_04245,INHMNHHN_00322,PDFLHPBO_05948,FNCGEDBI_05020
rbsC,rbsC,ribose ABC transporter permease,GCDEOBMB_04344,DBBBBKPJ_04253,INHMNHHN_00330,PDFLHPBO_05940,FNCGEDBI_05012
eraS,eraS,sensor kinase EraS,GCDEOBMB_04376,DBBBBKPJ_04221,INHMNHHN_00298,PDFLHPBO_05972,FNCGEDBI_05044
group_4616,,hypothetical protein,GCDEOBMB_04338,DBBBBKPJ_04259,INHMNHHN_00336,PDFLHPBO_05934,FNCGEDBI_05006
rbsB,rbsB,ribose ABC transporter substrate-binding protein,GCDEOBMB_04342,DBBBBKPJ_04255,INHMNHHN_00332,PDFLHPBO_05938,FNCGEDBI_05010
group_4615,ercS',sensor histidine kinase,GCDEOBMB_04372,DBBBBKPJ_04225,INHMNHHN_00302,PDFLHPBO_05968,FNCGEDBI_05040
braZ,braZ,branched-chain amino acid transport system 3 carrier protein,GCDEOBMB_04367,DBBBBKPJ_04230,INHMNHHN_00307,PDFLHPBO_05963,FNCGEDBI_05035
group_4614,,hypothetical protein,GCDEOBMB_04364,DBBBBKPJ_04233,INHMNHHN_00310,PDFLHPBO_05960,FNCGEDBI_05032
group_4613,,hypothetical protein,GCDEOBMB_04350,DBBBBKPJ_04247,INHMNHHN_00324,PDFLHPBO_05946,FNCGEDBI_05018
bacA,bacA,undecaprenyl-diphosphatase,GCDEOBMB_04355,DBBBBKPJ_04242,INHMNHHN_00319,PDFLHPBO_05951,FNCGEDBI_05023
group_4612,,hypothetical protein,GCDEOBMB_04375,DBBBBKPJ_04222,INHMNHHN_00299,PDFLHPBO_05971,FNCGEDBI_05043
group_4611,,hypothetical protein,GCDEOBMB_04351,DBBBBKPJ_04246,INHMNHHN_00323,PDFLHPBO_05947,FNCGEDBI_05019
group_4602,,transcriptional regulator,GCDEOBMB_03610,DBBBBKPJ_05874,INHMNHHN_01810,PDFLHPBO_04362,FNCGEDBI_04571
group_4601,,chemotaxis transducer,GCDEOBMB_03653,DBBBBKPJ_05808,INHMNHHN_01854,PDFLHPBO_04319,FNCGEDBI_04528
group_4600,,methyl-accepting chemotaxis protein,GCDEOBMB_03655,DBBBBKPJ_05810,INHMNHHN_01856,PDFLHPBO_04317,FNCGEDBI_04526
nuoB,nuoB,NADH-quinone oxidoreductase subunit B,GCDEOBMB_03669,DBBBBKPJ_05824,INHMNHHN_01870,PDFLHPBO_04302,FNCGEDBI_04512
group_4599,,hypothetical protein,GCDEOBMB_03674,DBBBBKPJ_05829,INHMNHHN_01875,PDFLHPBO_04297,FNCGEDBI_04507
group_4598,,hypothetical protein,GCDEOBMB_06252,DBBBBKPJ_05847,INHMNHHN_01785,PDFLHPBO_04387,FNCGEDBI_04596
ydiK_2,ydiK_2,Putative transport protein YdiK,GCDEOBMB_03656,DBBBBKPJ_05811,INHMNHHN_01857,PDFLHPBO_04316,FNCGEDBI_04525
group_4597,,hydrolase,GCDEOBMB_03608,DBBBBKPJ_05872,INHMNHHN_01808,PDFLHPBO_04364,FNCGEDBI_04573
group_4596,,hypothetical protein,GCDEOBMB_03609,DBBBBKPJ_05873,INHMNHHN_01809,PDFLHPBO_04363,FNCGEDBI_04572
nudJ,nudJ,Phosphatase NudJ,GCDEOBMB_03682,DBBBBKPJ_05837,INHMNHHN_01883,PDFLHPBO_04289,FNCGEDBI_04499
roxA,roxA,50S ribosomal protein L16 3-hydroxylase,GCDEOBMB_03677,DBBBBKPJ_05832,INHMNHHN_01878,PDFLHPBO_04294,FNCGEDBI_04504
tam_1,tam_1,Trans-aconitate 2-methyltransferase,GCDEOBMB_03627,DBBBBKPJ_05782,INHMNHHN_01828,PDFLHPBO_04345,FNCGEDBI_04554
group_4595,,leucine export protein LeuE,GCDEOBMB_03596,DBBBBKPJ_05860,INHMNHHN_01796,PDFLHPBO_04376,FNCGEDBI_04585
idh,idh,isocitrate dehydrogenase,GCDEOBMB_03683,DBBBBKPJ_05838,INHMNHHN_01884,PDFLHPBO_04288,FNCGEDBI_04498
group_4594,,type II secretion protein,GCDEOBMB_03629,DBBBBKPJ_05784,INHMNHHN_01830,PDFLHPBO_04343,FNCGEDBI_04552
group_4593,,hypothetical protein,GCDEOBMB_03587,DBBBBKPJ_05851,INHMNHHN_01787,PDFLHPBO_04385,FNCGEDBI_04594
group_4592,,quinone oxidoreductase,GCDEOBMB_03626,DBBBBKPJ_05781,INHMNHHN_01827,PDFLHPBO_04346,FNCGEDBI_04555
pfeA,pfeA,ferric enterobactin receptor,GCDEOBMB_03617,DBBBBKPJ_05882,INHMNHHN_01818,PDFLHPBO_04355,FNCGEDBI_04564
cysK,cysK,cysteine synthase A,GCDEOBMB_03597,DBBBBKPJ_05861,INHMNHHN_01797,PDFLHPBO_04375,FNCGEDBI_04584
group_4591,,hypothetical protein,GCDEOBMB_03675,DBBBBKPJ_05830,INHMNHHN_01876,PDFLHPBO_04296,FNCGEDBI_04506
fhp,fhp,flavohemoprotein,GCDEOBMB_03642,DBBBBKPJ_05797,INHMNHHN_01843,PDFLHPBO_04330,FNCGEDBI_04539
opdB,opdB,OpdB proline porin,GCDEOBMB_03606,DBBBBKPJ_05870,INHMNHHN_01806,PDFLHPBO_04366,FNCGEDBI_04575
group_4590,,hypothetical protein,GCDEOBMB_03601,DBBBBKPJ_05865,INHMNHHN_01801,PDFLHPBO_04371,FNCGEDBI_04580
cpo,cpo,chloroperoxidase,GCDEOBMB_03589,DBBBBKPJ_05853,INHMNHHN_01789,PDFLHPBO_04383,FNCGEDBI_04592
